Step,CMAValue
100,1.707115889
200,1.646329403
300,1.37953184
400,1.229371116
500,1.13952508
600,1.13501368
700,1.03638706
800,0.978505462
900,0.913009246
1000,0.86272009
1100,0.928159936
1200,0.902191788
1300,0.885551998
1400,0.858748355
1500,0.848910511
1600,0.841044821
1700,0.812097374
1800,0.791099399
1900,0.77516835
2000,0.767043394
2100,0.748342083
2200,0.72630668
2300,0.714673825
2400,0.695647179
2500,0.687760793
2600,0.674196003
2700,0.668539985
2800,0.654588689
2900,0.643065833
3000,0.627650343
3100,0.618529796
3200,0.605043413
3300,0.59505737
3400,0.589318883
3500,0.589147807
3600,0.582265519
3700,0.570849598
3800,0.562566128
3900,0.555822586
4000,0.547443438
4100,0.544220788
4200,0.536348535
4300,0.529886177
4400,0.523211235
4500,0.518277433
4600,0.511133467
4700,0.504831852
4800,0.497976141
4900,0.491773369
5000,0.48605406
5100,0.480009506
5200,0.473870303
5300,0.471017908
5400,0.46769218
5500,0.462149866
5600,0.456175342
5700,0.451271021
5800,0.446724155
5900,0.442096012
6000,0.437917187
6100,0.433747738
6200,0.428433643
6300,0.426826687
6400,0.423233934
6500,0.418873265
6600,0.414707933
6700,0.410888251
6800,0.408818387
6900,0.406226154
7000,0.402843831
7100,0.398425066
7200,0.394973323
7300,0.390464583
7400,0.386496746
7500,0.383127465
7600,0.381566536
7700,0.377688041
7800,0.373988522
7900,0.37249715
8000,0.36862396
8100,0.366285625
8200,0.363193285
8300,0.360126242
8400,0.356665802
8500,0.353597042
8600,0.35070425
8700,0.347285383
8800,0.344290749
8900,0.341308448
9000,0.338629029
9100,0.335525966
9200,0.332430295
9300,0.329795747
9400,0.326954716
9500,0.324328955
9600,0.321910209
9700,0.319330598
9800,0.31668596
9900,0.313763103
10000,0.311246179
10100,0.30856755
10200,0.30579953
10300,0.303538177
10400,0.301179453
10500,0.299660017
10600,0.298361487
10700,0.2972724
10800,0.294950961
10900,0.292469104
11000,0.289974806
11100,0.289021079
11200,0.286922498
11300,0.284667811
11400,0.282540752
11500,0.280335147
11600,0.277995015
11700,0.276035966
11800,0.274035363
11900,0.2719907
12000,0.270096219
12100,0.268139253
12200,0.268110068
12300,0.266047753
12400,0.264035788
12500,0.262126926
12600,0.260464584
12700,0.258585187
12800,0.256800365
12900,0.255117173
13000,0.253229646
13100,0.25144708
13200,0.249651303
13300,0.247918979
13400,0.246301863
13500,0.244701543
13600,0.243064691
13700,0.24147204
13800,0.239870196
13900,0.238195599
14000,0.236551601
14100,0.235218619
14200,0.234347886
14300,0.232774276
14400,0.23126207
14500,0.229867728
14600,0.229162167
14700,0.227730008
14800,0.22631347
14900,0.224852975
15000,0.223438923
