Wall time,Step,Value
1686826535.541856,100,1.707115888595581
1686826602.826178,200,1.585542917251587
1686826670.216228,300,0.8459367156028748
1686826737.761364,400,0.7788889408111572
1686826805.079255,500,0.7801409363746643
1686826872.473113,600,1.1124566793441772
1686826939.912118,700,0.4446273446083069
1686827007.694983,800,0.573334276676178
1686827075.253492,900,0.3890395164489746
1686827142.98675,1000,0.4101176857948303
1686827216.225518,1100,1.5825583934783936
1686827283.473954,1200,0.6165421605110168
1686827350.841962,1300,0.6858745217323303
1686827417.869295,1400,0.5103009939193726
1686827485.071193,1500,0.7111806869506836
1686827552.837676,1600,0.7230594754219055
1686827620.801767,1700,0.3489382266998291
1686827688.005552,1800,0.4341338276863098
1686827755.236713,1900,0.48840945959091187
1686827822.596062,2000,0.6126692295074463
1686827893.183634,2100,0.37431585788726807
1686827960.398651,2200,0.26356321573257446
1686828027.329462,2300,0.45875102281570435
1686828094.421216,2400,0.2580343186855316
1686828161.60661,2500,0.49848753213882446
1686828229.12112,2600,0.335076242685318
1686828296.007066,2700,0.5214835405349731
1686828363.033074,2800,0.27790367603302
1686828430.019228,2900,0.3204258680343628
1686828497.008145,3000,0.18060113489627838
1686828566.729351,3100,0.34491339325904846
1686828633.837615,3200,0.18696552515029907
1686828701.055764,3300,0.2755039930343628
1686828768.316032,3400,0.3999488353729248
1686828835.67856,3500,0.5833312273025513
1686828902.815061,3600,0.3413854241371155
1686828970.538387,3700,0.15987643599510193
1686829037.651754,3800,0.25607773661613464
1686829105.090655,3900,0.2995679974555969
1686829172.280499,4000,0.22065667808055878
1686829243.544348,4100,0.41531479358673096
1686829310.656489,4200,0.21358615159988403
1686829378.027143,4300,0.2584671378135681
1686829445.412608,4400,0.23618873953819275
1686829512.53542,4500,0.3011901378631592
1686829579.588561,4600,0.18965499103069305
1686829646.91219,4700,0.2149575650691986
1686829714.031321,4800,0.1757577359676361
1686829781.417434,4900,0.19404031336307526
1686829848.404904,5000,0.2058078944683075
1686829918.043835,5100,0.17778179049491882
1686829985.381552,5200,0.160770982503891
1686830052.529667,5300,0.3226933777332306
1686830119.646076,5400,0.2914285957813263
1686830186.699957,5500,0.16286486387252808
1686830254.108069,5600,0.1275765597820282
1686830321.181863,5700,0.17662900686264038
1686830388.32291,5800,0.187552809715271
1686830455.455873,5900,0.17366373538970947
1686830522.287097,6000,0.1913665235042572
1686830591.607929,6100,0.18358078598976135
1686830658.380561,6200,0.10427384078502655
1686830725.064621,6300,0.3271954357624054
1686830791.964487,6400,0.19689050316810608
1686830860.345758,6500,0.13979041576385498
1686830928.127328,6600,0.1439613401889801
1686830995.805642,6700,0.15878926217556
1686831063.028818,6800,0.2701375186443329
1686831130.394801,6900,0.22995427250862122
1686831197.928985,7000,0.16946354508399963
1686831269.155388,7100,0.08911155164241791
1686831336.48261,7200,0.14989954233169556
1686831403.303681,7300,0.06583528220653534
1686831470.154545,7400,0.09684465825557709
1686831536.931113,7500,0.1338006556034088
1686831603.78123,7600,0.26449692249298096
1686831670.625765,7700,0.08292238414287567
1686831737.514301,7800,0.08912557363510132
1686831804.468598,7900,0.2561700940132141
1686831871.168164,8000,0.06264197826385498
1686831940.443623,8100,0.1792188286781311
1686832007.169311,8200,0.1127137690782547
1686832073.900375,8300,0.10862866044044495
1686832140.593283,8400,0.0694492906332016
1686832207.307194,8500,0.09582119435071945
1686832274.105979,8600,0.1048169732093811
1686832340.817905,8700,0.05326276645064354
1686838301.164452,8800,0.0837576687335968
1686838366.872656,8900,0.0788659155368805
1686838433.498593,9000,0.10016076266765594
1686838503.729296,9100,0.05625030770897865
1686838570.42996,9200,0.05072421953082085
1686838637.085418,9300,0.08741730451583862
1686838703.822633,9400,0.0627388283610344
1686838770.625164,9500,0.07750745862722397
1686838837.250335,9600,0.09212932735681534
1686838903.887065,9700,0.07168788462877274
1686838971.202543,9800,0.06015615910291672
1686839039.096242,9900,0.027323050424456596
1686839106.342736,10000,0.06207074224948883
1686839176.857649,10100,0.040704600512981415
1686839243.600089,10200,0.026229554787278175
1686839310.492517,10300,0.07288020104169846
1686839377.469414,10400,0.05823085457086563
1686839444.68423,10500,0.14163869619369507
1686839511.993813,10600,0.16201576590538025
1686839579.051324,10700,0.18182924389839172
