Step,CMAValue
100,1.435463
200,1.465802
300,1.241496
400,1.382473
500,1.451943
600,1.433227
700,1.439295
800,1.359083
900,1.366028
1000,1.462352
1100,1.697808
1200,1.606224
1300,1.550030
1400,1.577070
1500,1.594971
1600,1.725307
1700,1.689709
1800,1.619667
1900,1.632693
2000,1.618649
2100,1.548472
2200,1.636105
2300,1.766433
2400,1.738218
2500,1.724651
2600,1.709236
2700,1.727372
2800,1.704414
2900,1.753476
3000,1.736173
3100,1.705877
3200,1.691700
3300,1.682726
3400,1.647209
3500,1.600459
3600,1.612333
3700,1.586650
3800,1.576060
3900,1.587870
4000,1.596474
4100,1.625673
4200,1.638715
4300,1.641578
4400,1.637037
4500,1.674049
4600,1.720344
4700,1.750186
4800,1.769803
4900,1.787554
5000,1.770964
5100,1.788610
5200,1.794040
5300,1.803033
5400,1.838389
5500,1.894357
5600,1.882708
5700,1.909700
5800,1.890505
5900,1.895598
6000,1.874637
6100,1.869923
6200,1.863098
6300,1.860485
6400,1.865298
6500,1.887892
6600,1.890734
6700,1.934091
6800,1.919577
6900,1.942440
7000,1.935002
7100,1.941998
7200,1.936339
7300,1.926233
7400,1.926777
7500,1.915660
7600,1.897931
7700,1.885512
7800,1.881675
7900,1.876485
8000,1.875660
8100,1.877402
8200,1.867455
8300,1.863010
8400,1.857543
8500,1.840074
8600,1.834970
8700,1.833145
8800,1.845664
8900,1.842226
9000,1.851145
9100,1.855298
9200,1.848804
9300,1.845024
9400,1.839599
9500,1.822891
9600,1.816716
9700,1.807185
9800,1.800517
9900,1.797787
10000,1.785981
10100,1.779414
10200,1.768686
10300,1.761057
10400,1.752214
10500,1.736609
10600,1.730944
10700,1.732981
10800,1.722442
10900,1.720458
11000,1.713003
11100,1.710870
11200,1.712336
11300,1.700324
11400,1.691869
11500,1.682077
11600,1.674009
11700,1.674323
11800,1.669400
11900,1.668218
12000,1.663699
12100,1.653829
12200,1.644992
12300,1.637779
12400,1.639440
12500,1.629347
12600,1.625309
12700,1.614619
12800,1.606016
12900,1.598891
13000,1.595452
13100,1.586625
13200,1.584422
13300,1.576776
13400,1.571712
13500,1.563126
13600,1.555005
13700,1.552862
13800,1.544027
13900,1.536995
14000,1.528622
14100,1.520603
14200,1.516941
14300,1.516737
14400,1.509936
14500,1.502890
14600,1.497486
14700,1.499197
14800,1.495393
14900,1.490781
15000,1.487333
